submission_id,title,main_type,block_extended,response,block_mean,block_sd,response_centered
2617,Violinist,some,prior,50,48.3125,8.430122435985986,0.20017502863262154
2617,Violinist,some,target,50,72.25,25.927095589639148,-0.8581755686082876
2617,Hotel check,some,relevance,54,53,4.65985898008574,0.21459876881973802
2617,Hotel check,some,competence,55,61.875,13.53764592323411,-0.5078430946550846
2617,Hotel check,some,prior,43,48.3125,8.430122435985986,-0.6301806456952901
2617,Hotel check,some,target,74,72.25,25.927095589639148,0.06749695483435969
2617,M&M's in the hospital,some,relevance,50,53,4.65985898008574,-0.643796306459214
2617,M&M's in the hospital,some,competence,76,61.875,13.53764592323411,1.043386721745901
2617,M&M's in the hospital,some,prior,66,48.3125,8.430122435985986,2.098130855667848
2617,M&M's in the hospital,some,target,61,72.25,25.927095589639148,-0.4339089953637409
2617,Puzzles,some,relevance,50,53,4.65985898008574,-0.643796306459214
2617,Puzzles,some,competence,87,61.875,13.53764592323411,1.8559356731940362
2617,Puzzles,some,prior,37,48.3125,8.430122435985986,-1.3419140808335
2617,Puzzles,some,target,100,72.25,25.927095589639148,1.0703088552305609
2617,Crush,xor,relevance,62,53,4.65985898008574,1.9313889193776421
2617,Crush,xor,competence,62,61.875,13.53764592323411,0.009233510811910628
2617,Crush,xor,prior,46,48.3125,8.430122435985986,-0.2743139281261851
2617,Crush,xor,target,25,72.25,25.927095589639148,-1.8224177805277118
2617,Leo's prize,xor,relevance,50,53,4.65985898008574,-0.643796306459214
2617,Leo's prize,xor,competence,50,61.875,13.53764592323411,-0.8771835271315097
2617,Leo's prize,xor,prior,50,48.3125,8.430122435985986,0.20017502863262154
2617,Leo's prize,xor,target,88,72.25,25.927095589639148,0.6074725935092372
2617,Joshua's delay,xor,relevance,50,53,4.65985898008574,-0.643796306459214
2617,Joshua's delay,xor,competence,50,61.875,13.53764592323411,-0.8771835271315097
2617,Joshua's delay,xor,prior,50,48.3125,8.430122435985986,0.20017502863262154
2617,Joshua's delay,xor,target,80,72.25,25.927095589639148,0.2989150856950215
2617,Brad Pitt,xor,relevance,50,53,4.65985898008574,-0.643796306459214
2617,Brad Pitt,xor,competence,64,61.875,13.53764592323411,0.1569696838024807
2617,Brad Pitt,xor,prior,44.5,48.3125,8.430122435985986,-0.45224728691073757
2617,Brad Pitt,xor,target,100,72.25,25.927095589639148,1.0703088552305609
2616,The game,some,relevance,100,57.5,38.48190669466812,1.1044151303939576
2616,The game,some,competence,62,81.75,21.46591983320804,-0.9200630652429116
2616,The game,some,prior,54,28.0625,35.39818145046437,0.7327353817962798
2616,The game,some,target,80,85,35.050983275386564,-0.14264935053936392
2616,Gerald's graduation,xor,relevance,24,57.5,38.48190669466812,-0.8705389851340607
2616,Gerald's graduation,xor,competence,82,81.75,21.46591983320804,0.011646367914467236
2616,Gerald's graduation,xor,prior,100,28.0625,35.39818145046437,2.0322371673434168
2616,Gerald's graduation,xor,target,100,85,35.050983275386564,0.42794805161809174
2616,Attendance,some,relevance,100,57.5,38.48190669466812,1.1044151303939576
2616,Attendance,some,competence,100,81.75,21.46591983320804,0.8501848577561082
2616,Attendance,some,prior,0,28.0625,35.39818145046437,-0.7927667142807943
2616,Attendance,some,target,100,85,35.050983275386564,0.42794805161809174
2616,M&M's in the hospital,some,relevance,20,57.5,38.48190669466812,-0.9744839385829037
2616,M&M's in the hospital,some,competence,100,81.75,21.46591983320804,0.8501848577561082
2616,M&M's in the hospital,some,prior,0,28.0625,35.39818145046437,-0.7927667142807943
2616,M&M's in the hospital,some,target,100,85,35.050983275386564,0.42794805161809174
2616,College,xor,relevance,64,57.5,38.48190669466812,0.16891054935436997
2616,College,xor,competence,61,81.75,21.46591983320804,-0.9666485369007806
2616,College,xor,prior,17,28.0625,35.39818145046437,-0.3125160544046784
2616,College,xor,target,0,85,35.050983275386564,-2.4250389591691865
2616,Brad Pitt,xor,relevance,12,57.5,38.48190669466812,-1.1823738454805899
2616,Brad Pitt,xor,competence,100,81.75,21.46591983320804,0.8501848577561082
2616,Brad Pitt,xor,prior,0,28.0625,35.39818145046437,-0.7927667142807943
2616,Brad Pitt,xor,target,100,85,35.050983275386564,0.42794805161809174
2616,Pete's accident,xor,relevance,100,57.5,38.48190669466812,1.1044151303939576
2616,Pete's accident,xor,competence,49,81.75,21.46591983320804,-1.5256741967952079
2616,Pete's accident,xor,prior,41.5,28.0625,35.39818145046437,0.3796098965932534
2616,Pete's accident,xor,target,100,85,35.050983275386564,0.42794805161809174
2616,Mrs. Todd's math exams,some,relevance,40,57.5,38.48190669466812,-0.45475917133868843
2616,Mrs. Todd's math exams,some,competence,100,81.75,21.46591983320804,0.8501848577561082
2616,Mrs. Todd's math exams,some,prior,12,28.0625,35.39818145046437,-0.4537662484858889
2616,Mrs. Todd's math exams,some,target,100,85,35.050983275386564,0.42794805161809174
2615,Rotten tomatoes,some,relevance,100,64.375,41.62738624648785,0.8558067948118102
2615,Rotten tomatoes,some,competence,28,66.125,35.71889256002047,-1.0673623191406736
2615,Rotten tomatoes,some,prior,77,35.4375,34.53407995837487,1.2035212766663173
2615,Rotten tomatoes,some,target,99,85.625,14.080761951785746,0.9498775737987503
2615,Alissa's paint,xor,relevance,3,64.375,41.62738624648785,-1.4743899517635046
2615,Alissa's paint,xor,competence,59,66.125,35.71889256002047,-0.19947426947874883
2615,Alissa's paint,xor,prior,87,35.4375,34.53407995837487,1.4930903056386642
2615,Alissa's paint,xor,target,81,85.625,14.080761951785746,-0.32846233860330615
2615,Harvard admission exams,some,relevance,100,64.375,41.62738624648785,0.8558067948118102
2615,Harvard admission exams,some,competence,0,66.125,35.71889256002047,-1.851261202706283
2615,Harvard admission exams,some,prior,13,35.4375,34.53407995837487,-0.6497205087567036
2615,Harvard admission exams,some,target,65,85.625,14.080761951785746,-1.4647644829606896
2615,Star Trek expert,some,relevance,96,64.375,41.62738624648785,0.7597162073241683
2615,Star Trek expert,some,competence,86,66.125,35.71889256002047,0.5564282253880888
2615,Star Trek expert,some,prior,12,35.4375,34.53407995837487,-0.6786774116539382
2615,Star Trek expert,some,target,86,85.625,14.080761951785746,0.026632081508376176
2615,Harold's pet,xor,relevance,24,64.375,41.62738624648785,-0.9699143674533849
2615,Harold's pet,xor,competence,95,66.125,35.71889256002047,0.8083957236770347
2615,Harold's pet,xor,prior,11.5,35.4375,34.53407995837487,-0.6931558631025556
2615,Harold's pet,xor,target,100,85.625,14.080761951785746,1.0208964578210868
2615,Tony's clubbing,xor,relevance,21,64.375,41.62738624648785,-1.0419823080691164
2615,Tony's clubbing,xor,competence,92,66.125,35.71889256002047,0.7244065575807194
2615,Tony's clubbing,xor,prior,1.5,35.4375,34.53407995837487,-0.9827248920749027
2615,Tony's clubbing,xor,target,87,85.625,14.080761951785746,0.09765096553071265
2615,Teacher problems,some,relevance,100,64.375,41.62738624648785,0.8558067948118102
2615,Teacher problems,some,competence,69,66.125,35.71889256002047,0.08048961750896882
2615,Teacher problems,some,prior,17,35.4375,34.53407995837487,-0.5338928971677648
2615,Teacher problems,some,target,100,85.625,14.080761951785746,1.0208964578210868
2615,Grandma,xor,relevance,71,64.375,41.62738624648785,0.1591500355264068
2615,Grandma,xor,competence,100,66.125,35.71889256002047,0.9483776671708936
2615,Grandma,xor,prior,64.5,35.4375,34.53407995837487,0.8415599904508835
2615,Grandma,xor,target,67,85.625,14.080761951785746,-1.3227267149160167
2614,Danny's racket,xor,relevance,75,50.5,28.580712777275917,0.8572214482866072
2614,Danny's racket,xor,competence,100,55.25,34.520180433231474,1.2963431661823124
2614,Danny's racket,xor,prior,74.5,39.1875,19.93549866802577,1.7713376819932356
2614,Danny's racket,xor,target,100,100,0,0
2614,Frank's laptop,xor,relevance,50,50.5,28.580712777275917,-0.017494315271155247
2614,Frank's laptop,xor,competence,50,55.25,34.520180433231474,-0.15208495245714282
2614,Frank's laptop,xor,prior,50,39.1875,19.93549866802577,0.542374192893504
2614,Frank's laptop,xor,target,100,100,0,0
2614,Gift unwrapping,some,relevance,50,50.5,28.580712777275917,-0.017494315271155247
2614,Gift unwrapping,some,competence,100,55.25,34.520180433231474,1.2963431661823124
2614,Gift unwrapping,some,prior,21,39.1875,19.93549866802577,-0.9123172840000559
2614,Gift unwrapping,some,target,100,100,0,0
2614,Van Gogh exhibition,some,relevance,50,50.5,28.580712777275917,-0.017494315271155247
2614,Van Gogh exhibition,some,competence,70,55.25,34.520180433231474,0.4272862949986393
2614,Van Gogh exhibition,some,prior,26,39.1875,19.93549866802577,-0.66150840867358
2614,Van Gogh exhibition,some,target,100,100,0,0
2614,Nuts,some,relevance,100,50.5,28.580712777275917,1.7319372118443697
2614,Nuts,some,competence,15,55.25,34.520180433231474,-1.1659846355047616
2614,Nuts,some,prior,18,39.1875,19.93549866802577,-1.0628026091959413
2614,Nuts,some,target,100,100,0,0
2614,Picnic pictures,some,relevance,51,50.5,28.580712777275917,0.017494315271155247
2614,Picnic pictures,some,competence,50,55.25,34.520180433231474,-0.15208495245714282
2614,Picnic pictures,some,prior,24,39.1875,19.93549866802577,-0.7618319588041703
2614,Picnic pictures,some,target,100,100,0,0
2614,Brad's clothes,xor,relevance,13,50.5,28.580712777275917,-1.3120736453366437
2614,Brad's clothes,xor,competence,51,55.25,34.520180433231474,-0.1231163900843537
2614,Brad's clothes,xor,prior,50,39.1875,19.93549866802577,0.542374192893504
2614,Brad's clothes,xor,target,100,100,0,0
2614,Dave's kids,xor,relevance,15,50.5,28.580712777275917,-1.2420963842520227
2614,Dave's kids,xor,competence,6,55.25,34.520180433231474,-1.4267016968598634
2614,Dave's kids,xor,prior,50,39.1875,19.93549866802577,0.542374192893504
2614,Dave's kids,xor,target,100,100,0,0
2613,Presents,xor,relevance,61,39.25,32.07914320195333,0.6780106271253411
2613,Presents,xor,competence,78,39.375,28.794530730678698,1.341400572256855
2613,Presents,xor,prior,69.5,28.6875,21.42084682199629,1.9052701482413443
2613,Presents,xor,target,7,48.625,21.11828929760038,-1.9710403344427025
2613,Gourmet desserts,some,relevance,18,39.25,32.07914320195333,-0.6624241759270574
2613,Gourmet desserts,some,competence,3,39.375,28.794530730678698,-1.2632607330962615
2613,Gourmet desserts,some,prior,38,28.6875,21.42084682199629,0.43474004913929604
2613,Gourmet desserts,some,target,41,48.625,21.11828929760038,-0.3610614426456602
2613,Tail-donkey blindfold,some,relevance,62,39.25,32.07914320195333,0.7091835295219086
2613,Tail-donkey blindfold,some,competence,68,39.375,28.794530730678698,0.9941123982097727
2613,Tail-donkey blindfold,some,prior,9,28.6875,21.42084682199629,-0.9190813119387802
2613,Tail-donkey blindfold,some,target,79,48.625,21.11828929760038,1.4383267305392695
2613,Felix' clothes,some,relevance,5,39.25,32.07914320195333,-1.0676719070824336
2613,Felix' clothes,some,competence,28,39.375,28.794530730678698,-0.395040297978556
2613,Felix' clothes,some,prior,0,28.6875,21.42084682199629,-1.3392327688250798
2613,Felix' clothes,some,target,60,48.625,21.11828929760038,0.5386326439468045
2613,Brad's clothes,xor,relevance,22,39.25,32.07914320195333,-0.5377325663407878
2613,Brad's clothes,xor,competence,29,39.375,28.794530730678698,-0.36031148057384776
2613,Brad's clothes,xor,prior,28,28.6875,21.42084682199629,-0.03209490295659233
2613,Brad's clothes,xor,target,62,48.625,21.11828929760038,0.6333372846407482
2613,Dave's kids,xor,relevance,17,39.25,32.07914320195333,-0.6935970783236248
2613,Dave's kids,xor,competence,1,39.375,28.794530730678698,-1.3327183679056778
2613,Dave's kids,xor,prior,15.5,28.6875,21.42084682199629,-0.6156385930764527
2613,Dave's kids,xor,target,39,48.625,21.11828929760038,-0.4557660833396039
2613,Harry Potter,some,relevance,29,39.25,32.07914320195333,-0.31952224956481595
2613,Harry Potter,some,competence,58,39.375,28.794530730678698,0.6468242241626906
2613,Harry Potter,some,prior,34,28.6875,21.42084682199629,0.24800606830094069
2613,Harry Potter,some,target,50,48.625,21.11828929760038,0.06510944047708626
2613,College,xor,relevance,100,39.25,32.07914320195333,1.8937538205914701
2613,College,xor,competence,50,39.375,28.794530730678698,0.3689936849250248
2613,College,xor,prior,35.5,28.6875,21.42084682199629,0.31803131111532396
2613,College,xor,target,51,48.625,21.11828929760038,0.11246176082405811
2612,Youth hostel,some,relevance,100,68.125,43.74744890521373,0.7286139145864847
2612,Youth hostel,some,competence,100,70.75,38.7694651571495,0.7544597244619453
2612,Youth hostel,some,prior,71,45.625,38.096447153432635,0.6660726103356233
2612,Youth hostel,some,target,100,87.5,35.35533905932738,0.35355339059327373
2612,Suzy's fruits,some,relevance,0,68.125,43.74744890521373,-1.5572336605868007
2612,Suzy's fruits,some,competence,100,70.75,38.7694651571495,0.7544597244619453
2612,Suzy's fruits,some,prior,66,45.625,38.096447153432635,0.534826775786732
2612,Suzy's fruits,some,target,100,87.5,35.35533905932738,0.35355339059327373
2612,Rabbits,xor,relevance,70,68.125,43.74744890521373,0.0428596420344991
2612,Rabbits,xor,competence,25,70.75,38.7694651571495,-1.1800523895430428
2612,Rabbits,xor,prior,73.5,45.625,38.096447153432635,0.731695527610069
2612,Rabbits,xor,target,0,87.5,35.35533905932738,-2.4748737341529163
2612,Harold's pet,xor,relevance,0,68.125,43.74744890521373,-1.5572336605868007
2612,Harold's pet,xor,competence,70,70.75,38.7694651571495,-0.01934512114004988
2612,Harold's pet,xor,prior,0,45.625,38.096447153432635,-1.197618240258633
2612,Harold's pet,xor,target,100,87.5,35.35533905932738,0.35355339059327373
2612,Rotten tomatoes,some,relevance,100,68.125,43.74744890521373,0.7286139145864847
2612,Rotten tomatoes,some,competence,0,70.75,38.7694651571495,-1.8248897608780388
2612,Rotten tomatoes,some,prior,0,45.625,38.096447153432635,-1.197618240258633
2612,Rotten tomatoes,some,target,100,87.5,35.35533905932738,0.35355339059327373
2612,Lily's husband,xor,relevance,75,68.125,43.74744890521373,0.15715202079316337
2612,Lily's husband,xor,competence,100,70.75,38.7694651571495,0.7544597244619453
2612,Lily's husband,xor,prior,71,45.625,38.096447153432635,0.6660726103356233
2612,Lily's husband,xor,target,100,87.5,35.35533905932738,0.35355339059327373
2612,Teacher problems,some,relevance,100,68.125,43.74744890521373,0.7286139145864847
2612,Teacher problems,some,competence,100,70.75,38.7694651571495,0.7544597244619453
2612,Teacher problems,some,prior,0,45.625,38.096447153432635,-1.197618240258633
2612,Teacher problems,some,target,100,87.5,35.35533905932738,0.35355339059327373
2612,School,xor,relevance,100,68.125,43.74744890521373,0.7286139145864847
2612,School,xor,competence,71,70.75,38.7694651571495,0.00644837371334996
2612,School,xor,prior,83.5,45.625,38.096447153432635,0.9941871967078515
2612,School,xor,target,100,87.5,35.35533905932738,0.35355339059327373
2611,School,xor,relevance,31,65.875,35.2518996448621,-0.9893083876710448
2611,School,xor,competence,89,62.625,41.282779183854096,0.6388862504275244
2611,School,xor,prior,85.5,54.3125,38.045027364201715,0.8197523345546527
2611,School,xor,target,64,79.375,31.10322675038258,-0.4943217024841605
2611,Picnic pictures,some,relevance,38,65.875,35.2518996448621,-0.7907375284969282
2611,Picnic pictures,some,competence,23,62.625,41.282779183854096,-0.9598433241020153
2611,Picnic pictures,some,prior,74,54.3125,38.045027364201715,0.5174789286266845
2611,Picnic pictures,some,target,90,79.375,31.10322675038258,0.34160442854596457
2611,Brad's clothes,xor,relevance,32,65.875,35.2518996448621,-0.9609411220747425
2611,Brad's clothes,xor,competence,75,62.625,41.282779183854096,0.2997617952242887
2611,Brad's clothes,xor,prior,50,54.3125,38.045027364201715,-0.11335252722298804
2611,Brad's clothes,xor,target,85,79.375,31.10322675038258,0.18084940334786362
2611,Semester abroad,xor,relevance,100,65.875,35.2518996448621,0.968032938473818
2611,Semester abroad,xor,competence,100,62.625,41.282779183854096,0.9053411795157811
2611,Semester abroad,xor,prior,95.5,54.3125,38.045027364201715,1.0825987744920162
2611,Semester abroad,xor,target,91,79.375,31.10322675038258,0.3737554335855848
2611,Puzzles,some,relevance,31,65.875,35.2518996448621,-0.9893083876710448
2611,Puzzles,some,competence,100,62.625,41.282779183854096,0.9053411795157811
2611,Puzzles,some,prior,17,54.3125,38.045027364201715,-0.9807457790162879
2611,Puzzles,some,target,100,79.375,31.10322675038258,0.6631144789421666
2611,Emails from a broken laptop,some,relevance,100,65.875,35.2518996448621,0.968032938473818
2611,Emails from a broken laptop,some,competence,13,62.625,41.282779183854096,-1.2020750778186122
2611,Emails from a broken laptop,some,prior,17,54.3125,38.045027364201715,-0.9807457790162879
2611,Emails from a broken laptop,some,target,97,79.375,31.10322675038258,0.566661463823306
2611,Teacher problems,some,relevance,100,65.875,35.2518996448621,0.968032938473818
2611,Teacher problems,some,competence,95,62.625,41.282779183854096,0.7842253026574826
2611,Teacher problems,some,prior,2,54.3125,38.045027364201715,-1.3750154389223332
2611,Teacher problems,some,target,100,79.375,31.10322675038258,0.6631144789421666
2611,Carl's party,xor,relevance,95,65.875,35.2518996448621,0.8261966104923062
2611,Carl's party,xor,competence,6,62.625,41.282779183854096,-1.3716373054202302
2611,Carl's party,xor,prior,93.5,54.3125,38.045027364201715,1.0300294865045436
2611,Carl's party,xor,target,8,79.375,31.10322675038258,-2.2947779847028915
2610,Mrs. Sanders' son,xor,relevance,93,49,36.34359837519041,1.2106671316849065
2610,Mrs. Sanders' son,xor,competence,100,68.5,34.79737264301923,0.9052407583513141
2610,Mrs. Sanders' son,xor,prior,50,54.625,28.34954018271599,-0.16314197585538787
2610,Mrs. Sanders' son,xor,target,100,71.625,37.458310159429246,0.7575088112419098
2610,Attendance,some,relevance,100,49,36.34359837519041,1.4032732662711416
2610,Attendance,some,competence,100,68.5,34.79737264301923,0.9052407583513141
2610,Attendance,some,prior,0,54.625,28.34954018271599,-1.926839012129851
2610,Attendance,some,target,100,71.625,37.458310159429246,0.7575088112419098
2610,Gift unwrapping,some,relevance,0,49,36.34359837519041,-1.3482429421036457
2610,Gift unwrapping,some,competence,100,68.5,34.79737264301923,0.9052407583513141
2610,Gift unwrapping,some,prior,100,54.625,28.34954018271599,1.6005550604190755
2610,Gift unwrapping,some,target,8,71.625,37.458310159429246,-1.6985549996569695
2610,Unexpected guest,xor,relevance,1,49,36.34359837519041,-1.320727780019898
2610,Unexpected guest,xor,competence,89,68.5,34.79737264301923,0.5891249379746647
2610,Unexpected guest,xor,prior,50,54.625,28.34954018271599,-0.16314197585538787
2610,Unexpected guest,xor,target,95,71.625,37.458310159429246,0.6240270823887099
2610,Schizophrenia talk,some,relevance,48,49,36.34359837519041,-0.027515162083747872
2610,Schizophrenia talk,some,competence,16,68.5,34.79737264301923,-1.5087345972521902
2610,Schizophrenia talk,some,prior,50,54.625,28.34954018271599,-0.16314197585538787
2610,Schizophrenia talk,some,target,100,71.625,37.458310159429246,0.7575088112419098
2610,Dave's kids,xor,relevance,50,49,36.34359837519041,0.027515162083747872
2610,Dave's kids,xor,competence,24,68.5,34.79737264301923,-1.2788321824328088
2610,Dave's kids,xor,prior,50,54.625,28.34954018271599,-0.16314197585538787
2610,Dave's kids,xor,target,87,71.625,37.458310159429246,0.41045631622358986
2610,Crime,xor,relevance,50,49,36.34359837519041,0.027515162083747872
2610,Crime,xor,competence,69,68.5,34.79737264301923,0.014368900926211335
2610,Crime,xor,prior,61,54.625,28.34954018271599,0.22487137212499406
2610,Crime,xor,target,61,71.625,37.458310159429246,-0.2836486738130499
2610,Picnic pictures,some,relevance,50,49,36.34359837519041,0.027515162083747872
2610,Picnic pictures,some,competence,50,68.5,34.79737264301923,-0.5316493342698194
2610,Picnic pictures,some,prior,76,54.625,28.34954018271599,0.7539804830073331
2610,Picnic pictures,some,target,22,71.625,37.458310159429246,-1.3248061588680096
2609,M&M's in the hospital,some,relevance,0,64.25,45.8623717535099,-1.4009306004782205
2609,M&M's in the hospital,some,competence,100,43.25,47.975440145379146,1.182896912003964
2609,M&M's in the hospital,some,prior,16,28.4375,40.70577135282626,-0.3055463534198928
2609,M&M's in the hospital,some,target,100,42,49.54651494158941,1.1706171477121337
2609,Gerald's graduation,xor,relevance,32,64.25,45.8623717535099,-0.7031908461544375
2609,Gerald's graduation,xor,competence,20,43.25,47.975440145379146,-0.4846229639487606
2609,Gerald's graduation,xor,prior,84,28.4375,40.70577135282626,1.3649784331170085
2609,Gerald's graduation,xor,target,0,42,49.54651494158941,-0.8476882793777519
2609,Leo's prize,xor,relevance,82,64.25,45.8623717535099,0.3870275199764734
2609,Leo's prize,xor,competence,26,43.25,47.975440145379146,-0.35955897325230624
